Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-johnmoehrke.ConsentAboutAI.example.json	7104	-	0	0	0	0	0	0	7	27	0	0	0	0	0	0	0	0	0	0	112	92	0	0	0	2	0	0
fsh-generated/resources/Consent-AllAiProvisions.json	5587	8	0	0	2	0	0	0	1	829	0	0	0	0	0	0	0	0	0	0	80	55	0	0	0	0	0	0
fsh-generated/resources/Consent-AllowCDS.json	1326	2	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	38	28	0	0	0	0	0	0
fsh-generated/resources/Consent-AllowMLtraining.json	1344	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	39	27	0	0	0	0	0	0
fsh-generated/resources/Consent-AllowMLtrainingOnDeIdentifiedData.json	1938	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	41	33	0	0	0	0	0	0
fsh-generated/resources/Consent-AllowSpecificAIforSpecificPurpose.json	1517	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	36	33	0	0	0	0	0	0
fsh-generated/resources/Consent-DenyCDS.json	1323	1	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	40	31	0	0	0	0	0	0
fsh-generated/resources/Consent-DenyMLtraining.json	1341	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	39	28	0	0	0	0	0	0
fsh-generated/resources/Device-AIdevice.json	531	2	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	15	24	0	0	0	0	0	0
fsh-generated/resources/Patient-ex-patient.json	1062	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	17	42	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ConsentWithLimits.json	3429	2	0	69	0	0	0	0	0	54	0	0	2	0	0	0	0	0	0	0	589	1342	0	0	0	9	0	0
\fsh-generated\includes\fsh-link-references.md	510	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
\fsh-generated\includes\menu.xml	1120	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
\input\pagecontent\Consent-AllAiProvisions-intro.md	716	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
\input\pagecontent\download.md	741	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
\input\pagecontent\index.md	8899	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
\template\config	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
\template\config\_config.yml	140	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
\temp\pages\_includes\artifacts.xml	6463	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	0	0	0	0	0	0
